train/eval | 01_五模型基准对比 | FNN | seed=20260425 | epochs=1600
    epoch  200 | loss=9.506036e-04 | data=9.505937e-04
    epoch  400 | loss=4.471635e-04 | data=4.471595e-04
    epoch  600 | loss=3.389245e-04 | data=3.389221e-04
    epoch  800 | loss=2.867795e-04 | data=2.867777e-04
    epoch 1000 | loss=2.669106e-04 | data=2.669097e-04
    epoch 1200 | loss=2.671935e-04 | data=2.671921e-04
train/eval | 02_模块一_复筛 | M1_R2_log_cycle_replace | seed=20260426 | epochs=1200
    epoch    1 | loss=1.079449e+00 | data=1.079445e+00
    epoch  200 | loss=5.053593e-04 | data=5.052447e-04
    epoch  400 | loss=2.887698e-04 | data=2.887188e-04
    epoch  600 | loss=2.526258e-04 | data=2.525929e-04
    epoch  800 | loss=2.494042e-04 | data=2.493826e-04
    epoch 1000 | loss=3.122757e-04 | data=3.122455e-04
    epoch 1200 | loss=2.166907e-04 | data=2.166742e-04
train/eval | 02_模块一_复筛 | M1_R2_log_cycle_replace | seed=20260427 | epochs=1200
    epoch    1 | loss=8.035467e-01 | data=8.035402e-01
    epoch  200 | loss=6.555046e-04 | data=6.554493e-04
    epoch  400 | loss=3.193078e-04 | data=3.193009e-04
    epoch  600 | loss=2.521400e-04 | data=2.521363e-04
    epoch  800 | loss=2.424129e-04 | data=2.424116e-04
    epoch 1000 | loss=2.136688e-04 | data=2.136688e-04
    epoch 1200 | loss=3.352683e-04 | data=3.352683e-04
train/eval | 02_模块一_复筛 | M1_R3_log_cycle_keep | seed=20260425 | epochs=1200
    epoch    1 | loss=7.866523e-01 | data=7.866495e-01
    epoch  200 | loss=8.813793e-04 | data=8.572752e-04
    epoch  400 | loss=3.946850e-04 | data=3.765576e-04
    epoch  600 | loss=2.848450e-04 | data=2.711141e-04
    epoch  800 | loss=2.437604e-04 | data=2.334619e-04
    epoch 1000 | loss=2.752220e-04 | data=2.683103e-04
    epoch 1200 | loss=2.126379e-04 | data=2.074961e-04
train/eval | 02_模块一_复筛 | M1_R3_log_cycle_keep | seed=20260426 | epochs=1200
    epoch    1 | loss=1.098453e+00 | data=1.098408e+00
    epoch  200 | loss=1.088852e-03 | data=1.067219e-03
    epoch  400 | loss=4.443568e-04 | data=4.268985e-04
    epoch  600 | loss=3.219963e-04 | data=3.083434e-04
    epoch  800 | loss=2.754589e-04 | data=2.647197e-04
    epoch 1000 | loss=2.482932e-04 | data=2.398754e-04
    epoch 1200 | loss=2.282315e-04 | data=2.217447e-04
train/eval | 02_模块一_复筛 | M1_R3_log_cycle_keep | seed=20260427 | epochs=1200
    epoch    1 | loss=9.946113e-01 | data=9.946067e-01
    epoch  200 | loss=8.052210e-04 | data=7.903282e-04
    epoch  400 | loss=3.469960e-04 | data=3.341048e-04
    epoch  600 | loss=2.674000e-04 | data=2.573101e-04
    epoch  800 | loss=2.345283e-04 | data=2.266764e-04
    epoch 1000 | loss=2.167582e-04 | data=2.105733e-04
    epoch 1200 | loss=2.039538e-04 | data=1.989908e-04
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S1_slow_abs_0p003 | seed=20260425 | epochs=800
    epoch    1 | loss=7.867895e-01 | data=7.866495e-01 | mono=7.162137e-02 | slow=4.573303e-02
    epoch  200 | loss=1.157573e-03 | data=8.974284e-04 | mono=5.662853e-03 | slow=7.855984e-02
    epoch  400 | loss=6.414361e-04 | data=4.351316e-04 | mono=3.781068e-03 | slow=6.226633e-02
    epoch  600 | loss=4.921793e-04 | data=3.369116e-04 | mono=3.226251e-03 | slow=4.646136e-02
    epoch  800 | loss=4.116047e-04 | data=2.994439e-04 | mono=1.904211e-03 | slow=3.326316e-02
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S1_slow_abs_0p003 | seed=20260426 | epochs=800
    epoch    1 | loss=1.098708e+00 | data=1.098408e+00 | mono=3.483419e-01 | slow=8.503947e-02
    epoch  200 | loss=1.332674e-03 | data=1.077899e-03 | mono=4.614537e-03 | slow=7.775836e-02
    epoch  400 | loss=6.751857e-04 | data=4.803250e-04 | mono=1.445355e-03 | slow=5.902011e-02
    epoch  600 | loss=5.253397e-04 | data=3.683147e-04 | mono=1.334698e-03 | slow=4.771128e-02
    epoch  800 | loss=4.451410e-04 | data=3.250042e-04 | mono=1.107700e-03 | slow=3.632578e-02
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S1_slow_abs_0p01 | seed=20260425 | epochs=800
    epoch    1 | loss=7.871096e-01 | data=7.866495e-01 | mono=7.162137e-02 | slow=4.573303e-02
    epoch  200 | loss=1.505826e-03 | data=9.672083e-04 | mono=3.137193e-03 | slow=5.145162e-02
    epoch  400 | loss=8.362193e-04 | data=5.046068e-04 | mono=1.807995e-03 | slow=3.117320e-02
    epoch  600 | loss=5.771136e-04 | data=3.795666e-04 | mono=0.000000e+00 | slow=1.819674e-02
    epoch  800 | loss=4.641032e-04 | data=3.308798e-04 | mono=0.000000e+00 | slow=1.215515e-02
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S1_slow_abs_0p01 | seed=20260426 | epochs=800
    epoch    1 | loss=1.099303e+00 | data=1.098408e+00 | mono=3.483419e-01 | slow=8.503947e-02
    epoch  200 | loss=1.734191e-03 | data=1.163507e-03 | mono=7.311521e-04 | slow=5.496268e-02
    epoch  400 | loss=9.246502e-04 | data=5.473850e-04 | mono=1.375374e-04 | slow=3.610656e-02
    epoch  600 | loss=6.402780e-04 | data=4.102983e-04 | mono=3.114772e-06 | slow=2.179037e-02
    epoch  800 | loss=5.010269e-04 | data=3.485102e-04 | mono=0.000000e+00 | slow=1.435928e-02
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S1_slow_abs_0p03 | seed=20260425 | epochs=800
    epoch    1 | loss=7.880242e-01 | data=7.866495e-01 | mono=7.162137e-02 | slow=4.573303e-02
    epoch  200 | loss=2.161015e-03 | data=1.195838e-03 | mono=1.348287e-03 | slow=3.145065e-02
    epoch  400 | loss=1.010593e-03 | data=6.282264e-04 | mono=1.706464e-06 | slow=1.223326e-02
    epoch  600 | loss=6.433080e-04 | data=4.557910e-04 | mono=0.000000e+00 | slow=5.849614e-03
    epoch  800 | loss=4.737895e-04 | data=3.647742e-04 | mono=0.000000e+00 | slow=3.241106e-03
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S1_slow_abs_0p03 | seed=20260426 | epochs=800
    epoch    1 | loss=1.101004e+00 | data=1.098408e+00 | mono=3.483419e-01 | slow=8.503947e-02
    epoch  200 | loss=2.442720e-03 | data=1.421763e-03 | mono=4.709925e-04 | slow=3.338165e-02
    epoch  400 | loss=1.019326e-03 | data=6.228246e-04 | mono=1.265046e-05 | slow=1.277369e-02
    epoch  600 | loss=6.308144e-04 | data=4.379443e-04 | mono=0.000000e+00 | slow=6.091224e-03
    epoch  800 | loss=4.899526e-04 | data=3.748967e-04 | mono=0.000000e+00 | slow=3.541623e-03
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p003 | seed=20260425 | epochs=800
    epoch    1 | loss=7.871476e-01 | data=7.866495e-01 | mono=7.162137e-02 | slow=4.573303e-02
    epoch  200 | loss=1.168406e-03 | data=9.084154e-04 | mono=2.956391e-03 | slow=7.332601e-02
    epoch  400 | loss=6.368463e-04 | data=4.358733e-04 | mono=1.349063e-03 | slow=5.797969e-02
    epoch  600 | loss=4.817197e-04 | data=3.368615e-04 | mono=7.362958e-06 | slow=4.263327e-02
    epoch  800 | loss=4.053252e-04 | data=3.011172e-04 | mono=0.000000e+00 | slow=3.018642e-02
train/eval | 03_模块二_粗筛 | M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p003 | seed=20260426 | epochs=800
    epoch    1 | loss=1.100450e+00 | data=1.098408e+00 | mono=3.483419e-01 | slow=8.503947e-02
    epoch  200 | loss=1.319426e-03 | data=1.079435e-03 | mono=6.492693e-04 | slow=7.175322e-02
    epoch  400 | loss=6.705564e-04 | data=4.822384e-04 | mono=5.579312e-05 | slow=5.680804e-02
    epoch  600 | loss=5.194918e-04 | data=3.695043e-04 | mono=1.175493e-05 | slow=4.546315e-02
    epoch  800 | loss=4.392410e-04 | data=3.228064e-04 | mono=8.553465e-07 | slow=3.528528e-02
